cThinning,100,50000,5950
germinationDay,30,200,100
hNutrient,0.0,0.1,0.006
hPhotoLight,1.0,500.0,50.0
hPhotoTemp,4.0,25.0,15.0
hWaveMort,0.0,1.0,0.1
maxAge,100,350,280
maxWaveMort,0.0,1.0,0.2
pMax,0.001,2.0,0.05
pNutrient,1.0,8.0,2.0
pPhotoTemp,1.0,8.0,2.0
pWaveMort,1.0,8.0,2.0
q10,1.0,8.0,2.0
reproDay,150,350,288
resp20,0.0001,0.5,0.001
seedBiomass,0.00000001,0.5,0.05
seedFraction,0.0,0.5,0.1
seedsStartAge,10,200,80
seedsEndAge,100,200,110
sPhotoTemp,0.5,1.5,1.35
seedGermination,0.3,1.0,0.6
cTuber,0.01,0.5,0.1
heightMax,0.01,5.0,3.5
maxWeightLenRatio,0.005,0.5,0.08
rootShootRatio,0.01,0.5,0.1
fracPeriphyton,0.05,0.5,0.2
hPhotoDist,0.5,3.0,1.0
plantK,0.005,0.1,0.02
Kohler5,10,600,100